2025-01-12 11:33:33,040 - DEBUG - Loaded backend Agg version v2.2.
2025-01-12 11:33:33,049 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-01-12 11:33:33,049 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2025-01-12 11:33:33,049 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-12 11:33:33,049 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-12 11:33:33,049 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-12 11:33:33,049 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-12 11:33:33,057 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-12 11:33:33,057 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-12 11:33:33,057 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-12 11:33:33,057 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-12 11:33:33,059 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-12 11:33:33,059 - DEBUG - findfont: score(FontEntry(fname='D:\\major project\\automatic data analyser\\env\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
